10109,路口_10109,2209.9,882.107,30,9,无,Road
10110,路口_10110,2254.86,998.487,30,9,无,Road
10111,路口_10111,2289.25,999.81,30,9,无,Road
10112,路口_10112,2313.05,912.525,30,9,无,Road
10113,路口_10113,2344.79,883.43,30,9,无,Road
10114,路口_10114,2335.53,831.852,30,9,无,Road
10115,路口_10115,2291.89,855.657,30,9,无,Road
10116,路口_10116,2441.33,875.495,30,9,无,Road
10117,路口_10117,2393.72,825.24,30,9,无,Road
10118,路口_10118,2433.4,846.4,30,9,无,Road
10119,路口_10119,2457.2,771.017,30,9,无,Road
10120,路口_10120,2462.49,829.207,30,9,无,Road
10122,路口_10122,2085.58,933.685,30,9,无,Road
10123,路口_10123,1879.27,1027.58,30,9,无,Road
10124,路口_10124,2110.71,1116.19,30,9,无,Road
10125,路口_10125,2315.7,1106.93,30,9,无,Road
10126,路口_10126,2510.1,978.65,30,9,无,Road
10127,路口_10127,2449.27,1095.03,30,9,无,Road
10128,路口_10128,2455.88,1125.45,30,9,无,Road
10129,路口_10129,2322.31,1137.35,30,9,无,Road
10130,路口_10130,2512.75,1128.09,30,9,无,Road
10131,路口_10131,2342.15,1196.86,30,9,无,Road
10132,路口_10132,2506.14,1186.28,30,9,无,Road
10133,路口_10133,2359.34,1252.41,30,9,无,Road
10134,路口_10134,2436.04,1247.12,30,9,无,Road
10135,路口_10135,2523.33,1243.15,30,9,无,Road
10136,路口_10136,2523.33,1281.5,30,9,无,Road
10137,路口_10137,2434.72,1288.11,30,9,无,Road
10138,路口_10138,2356.69,1286.79,30,9,无,Road
10139,路口_10139,2346.11,1318.53,30,9,无,Road
10140,路口_10140,2434.72,1323.82,30,9,无,Road
10141,路口_10141,2524.65,1314.56,30,9,无,Road
10142,路口_10142,2577.55,1314.56,30,9,无,Road
10143,路口_10143,2574.91,1284.15,30,9,无,Road
10144,路口_10144,2618.55,1282.82,30,9,无,Road
10145,路口_10145,2646.32,1300.02,30,9,无,Road
10146,路口_10146,2306.44,1338.37,30,9,无,Road
10147,路口_10147,2236.35,1344.98,30,9,无,Road
10148,路口_10148,2207.25,1310.6,30,9,无,Road
10149,路口_10149,2105.42,1309.27,30,9,无,Road
10150,路口_10150,2113.35,1262.99,30,9,无,Road
10151,路口_10151,2143.77,1216.7,30,9,无,Road
10152,路口_10152,2232.38,1232.57,30,9,无,Road
10153,路口_10153,2190.06,1269.6,30,9,无,Road
10154,路口_10154,2237.67,1264.31,30,9,无,Road
10155,路口_10155,2270.73,1239.18,30,9,无,Road
10156,路口_10156,2256.18,1173.06,30,9,无,Road
10157,路口_10157,1385.52,1682.09,30,9,无,Road
10158,路口_10158,1244,641,30,9,无,Road
10159,路口_10159,1059.32,654.637,30,9,无,Road
10160,路口_10160,1122.8,649.347,30,9,无,Road
10161,路口_10161,1124.12,700.925,30,9,无,Road
10162,路口_10162,899.3,741.922,30,9,无,Road
10163,路口_10163,890.042,654.637,30,9,无,Road
10164,路口_10164,737.955,674.475,30,9,无,Road
10165,路口_10165,743.245,749.857,30,9,无,Road
10166,路口_10166,826.562,715.472,30,9,无,Road
10167,路口_10167,1180,1213,30,9,无,Road
10168,路口_10168,1190.27,1396.3,30,9,无,Road
10169,路口_10169,1307.07,1372.68,30,9,无,Road
10170,路口_10170,1325.44,1408.11,30,9,无,Road
10171,路口_10171,1427.8,1415.99,30,9,无,Road
10172,路口_10172,1448.8,1392.37,30,9,无,Road
10173,路口_10173,1409.43,1350.37,30,9,无,Road
10174,路口_10174,1361.26,1287.32,30,9,无,Road
10175,路口_10175,1400.5,1151.49,30,9,无,Road
10176,路口_10176,1706.86,1782.32,30,9,无,Road
10177,路口_10177,1897.02,1611.79,30,9,无,Road
10178,路口_10178,2141.5,1596.69,30,9,无,Road
10179,路口_10179,2250.16,1672.15,30,9,无,Road
10180,路口_10180,2604.81,1530.29,30,9,无,Road
10181,路口_10181,2650.09,1447.29,30,9,无,Road
10182,路口_10182,2610.85,1376.36,30,9,无,Road
10183,路口_10183,2345.24,1441.25,30,9,无,Road
10184,路口_10184,2268.27,1435.21,30,9,无,Road
10185,路口_10185,1939.27,1432.19,30,9,无,Road
10186,路口_10186,2129.43,1463.89,30,9,无,Road
10187,路口_10187,2156.59,1329.57,30,9,无,Road
10188,路口_10188,1735.68,1179.94,30,9,无,Road
10189,路口_10189,1266.19,1436.72,30,9,无,Road
10190,路口_10190,1398.99,1586.13,30,9,无,Road
10191,路口_10191,1335.61,1628.39,30,9,无,Road
10192,路口_10192,1312.97,1652.53,30,9,无,Road
10193,路口_10193,2117.96,596.818,30,9,无,Road
10194,路口_10194,2110.43,502.609,30,9,无,Road
10195,路口_10195,2036.52,492.174,30,9,无,Road
10196,路口_10196,1952.17,445.217,30,9,无,Road
10197,路口_10197,1918.26,530.435,30,9,无,Road
10198,路口_10198,2000.87,576.522,30,9,无,Road
10199,路口_10199,1981.74,646.957,30,9,无,Road
10200,路口_10200,2114.78,653.043,30,9,无,Road
10201,路口_10201,1207.44,1285.47,30,9,无,Road
10202,路口_10202,1502.36,1024.94,30,9,无,Road
10203,路口_10203,1375.4,1083.13,30,9,无,Road
10204,路口_10204,1277.53,1137.35,30,9,无,Road
10206,路口_10206,944.15,946.45,30,9,无,Road
10208,路口_10208,1178.66,1906.77,30,9,无,Road
10209,路口_10209,949.361,1359.68,30,9,无,Road
10210,路口_10210,911.145,1337.55,30,9,无,Road
10211,路口_10211,826.668,1271.18,30,9,无,Road
10213,路口_10213,887.009,1510.53,30,9,无,Road
10214,路口_10214,1052.45,944.463,30,9,无,Road
10215,路口_10215,1486.49,1219.34,30,9,无,Road
10216,路口_10216,1551.29,1147.93,30,9,无,Road
10217,路口_10217,1593.61,1202.15,30,9,无,Road
10218,路口_10218,1733.8,1224.63,30,9,无,Road
10219,路口_10219,1736.44,1281.5,30,9,无,Road
10220,路口_10220,1733.8,1444.17,30,9,无,Road
10221,路口_10221,1696.77,1466.65,30,9,无,Road
10222,路口_10222,1936.49,1220.95,30,9,无,Road
10223,路口_10223,2066.84,1191.69,30,9,无,Road
10224,路口_10224,2032.26,1231.59,30,9,无,Road
10225,路口_10225,1960.43,1247.55,30,9,无,Road
10226,路口_10226,811.306,502.744,30,9,无,Road
10227,路口_10227,792.686,460.183,30,9,无,Road
10228,路口_10228,547.964,457.523,30,9,无,Road
10229,路口_10229,553.284,532.004,30,9,无,Road
10230,路口_10230,478.804,351.123,30,9,无,Road
10231,路口_10231,1506.5,880.9,30,9,无,Road
10232,路口_10232,1472,1065,30,9,无,Road
10233,路口_10233,609.672,788.21,30,9,无,Road
10234,路口_10234,484.035,470.81,30,9,无,Road
10235,路口_10235,550.16,665.217,30,9,无,Road
10236,路口_10236,543.547,763.082,30,9,无,Road
10237,路口_10237,501.889,1155.86,30,9,无,Road
10238,路口_10238,720.895,1111.76,30,9,无,Road
10239,路口_10239,1285.14,1320.12,30,9,无,Road
10240,路口_10240,1265.37,1277.53,30,9,无,Road
10241,路口_10241,1107.2,1256.24,30,9,无,Road
10242,路口_10242,1044.84,1155.86,30,9,无,Road
10243,路口_10243,1137.61,1125.45,30,9,无,Road
10244,路口_10244,1169.55,1002.26,30,9,无,Road
10245,路口_10245,708.728,1329.24,30,9,无,Road
10247,路口_10247,1463.08,1464.6,30,9,无,Road
10248,路口_10248,1387.04,1473.73,30,9,无,Road
10249,路口_10249,1464.6,1034.19,30,9,无,Road
10250,路口_10250,1864.59,1081.34,30,9,无,Road
10251,路口_10251,2054.7,1006.82,30,9,无,Road
10252,路口_10252,1715.55,912.525,30,9,无,Road
10253,路口_10253,1583.23,930.775,30,9,无,Road
10254,路口_10254,1682.09,918.608,30,9,无,Road
10255,路口_10255,1349.02,679.831,30,9,无,Road
10256,路口_10256,1008.34,652.455,30,9,无,Road
10257,路口_10257,1470.69,323.946,30,9,无,Road
10258,路口_10258,1344.45,334.592,30,9,无,Road
10259,路口_10259,1621.25,346.759,30,9,无,Road
10261,路口_10261,1633.42,588.579,30,9,无,Road
10262,路口_10262,2329.15,999.645,30,9,无,Road
10263,路口_10263,1802.18,1403.93,30,9,无,Road
10264,路口_10264,2347.25,1369.73,30,9,无,Road
10265,路口_10265,2488.05,1460.25,30,9,无,Road
10266,路口_10266,2588.62,1490.42,30,9,无,Road
10267,路口_10267,861.35,1071.8,30,9,无,Road
10268,路口_10268,842.95,923.45,30,9,无,Road
10269,路口_10269,852.15,961.4,30,9,无,Road
10270,路口_10270,862.5,1018.9,30,9,无,Road
10271,路口_10271,522.1,978.65,30,9,无,Road
10274,路口_10274,450.8,776.25,30,9,无,Road
10275,路口_10275,492.2,760.15,30,9,无,Road
10276,路口_10276,532.45,923.45,30,9,无,Road
10277,路口_10277,1509.95,836.05,30,9,无,Road
10278,路口_10278,1270.75,860.2,30,9,无,Road
10279,路口_10279,1095.95,897,30,9,无,Road
10280,路口_10280,1092.5,985.55,30,9,无,Road
10281,路口_10281,1299.5,902.75,30,9,无,Road
10282,路口_10282,1114.35,1091.35,30,9,无,Road
10283,路口_10283,1128.15,1053.4,30,9,无,Road
10284,路口_10284,1169.55,1038.45,30,9,无,Road
10285,路口_10285,1343.2,990.15,30,9,无,Road
10286,路口_10286,1292.6,1001.65,30,9,无,Road
10287,路口_10287,1219,1005.1,30,9,无,Road
10288,路口_10288,1411.05,974.05,30,9,无,Road
10289,路口_10289,1467.4,959.1,30,9,无,Road
10290,路口_10290,1405.3,1005.1,30,9,无,Road
10291,路口_10291,1299.5,1035,30,9,无,Road
10292,路口_10292,1545.6,983.25,30,9,无,Road
10293,路口_10293,1319.05,1219,30,9,无,Road
10294,路口_10294,1388.05,1191.4,30,9,无,Road
10295,路口_10295,1346.65,387.55,30,9,无,Road
10296,路口_10296,1302.95,382.95,30,9,无,Road
10297,路口_10297,1324.8,261.05,30,9,无,Road
10298,路口_10298,2628.07,1227.35,30,9,无,Road
10299,路口_10299,2678.26,1289.7,30,9,无,Road
10300,路口_10300,2296.97,1713.68,30,9,无,Road
10301,路口_10301,2142.1,1751.89,30,9,无,Road
10302,路口_10302,1910.79,1755.91,30,9,无,Road
